"subaward_primary_place_of_performance_state_name","n","long","lat","group","order","subregion"
"michigan",830,-88.41311646,46.98254013,23,6299,"north"
"michigan",830,-88.41884613,46.99399948,23,6300,"north"
"michigan",830,-88.44176483,46.99399948,23,6301,"north"
"michigan",830,-88.43030548,46.95962143,23,6302,"north"
"michigan",830,-88.43030548,46.94816208,23,6303,"north"
"michigan",830,-88.41884613,46.9424324,23,6304,"north"
"michigan",830,-88.44176483,46.90805435,23,6305,"north"
"michigan",830,-88.44176483,46.86221695,23,6306,"north"
"michigan",830,-88.45895386,46.83356857,23,6307,"north"
"michigan",830,-88.45322418,46.80492401,23,6308,"north"
"michigan",830,-88.47041321,46.76481628,23,6309,"north"
"michigan",830,-88.45895386,46.74762726,23,6310,"north"
"michigan",830,-88.43030548,46.77627563,23,6311,"north"
"michigan",830,-88.4016571,46.80492401,23,6312,"north"
"michigan",830,-88.36727905,46.82784271,23,6313,"north"
"michigan",830,-88.36727905,46.86221695,23,6314,"north"
"michigan",830,-88.31571198,46.87940598,23,6315,"north"
"michigan",830,-88.25842285,46.90805435,23,6316,"north"
"michigan",830,-88.20111847,46.9424324,23,6317,"north"
"michigan",830,-88.16674805,46.95962143,23,6318,"north"
"michigan",830,-88.14382935,46.95962143,23,6319,"north"
"michigan",830,-88.13809967,46.9424324,23,6320,"north"
"michigan",830,-88.16101837,46.9195137,23,6321,"north"
"michigan",830,-88.18965912,46.90805435,23,6322,"north"
"michigan",830,-88.23549652,46.86221695,23,6323,"north"
"michigan",830,-88.26415253,46.83929825,23,6324,"north"
"michigan",830,-88.25269318,46.82784271,23,6325,"north"
"michigan",830,-88.23549652,46.82784271,23,6326,"north"
"michigan",830,-88.20685577,46.86221695,23,6327,"north"
"michigan",830,-88.1782074,46.88513565,23,6328,"north"
"michigan",830,-88.16101837,46.896595,23,6329,"north"
"michigan",830,-88.09799194,46.90232468,23,6330,"north"
"michigan",830,-88.04642487,46.90805435,23,6331,"north"
"michigan",830,-88.02923584,46.90232468,23,6332,"north"
"michigan",830,-87.94902039,46.90232468,23,6333,"north"
"michigan",830,-87.92037201,46.90232468,23,6334,"north"
"michigan",830,-87.84015656,46.87940598,23,6335,"north"
"michigan",830,-87.81151581,46.88513565,23,6336,"north"
"michigan",830,-87.78858948,46.86221695,23,6337,"north"
"michigan",830,-87.74848175,46.86221695,23,6338,"north"
"michigan",830,-87.719841,46.84503174,23,6339,"north"
"michigan",830,-87.719841,46.82784271,23,6340,"north"
"michigan",830,-87.68546295,46.83356857,23,6341,"north"
"michigan",830,-87.66254425,46.83356857,23,6342,"north"
"michigan",830,-87.6510849,46.80492401,23,6343,"north"
"michigan",830,-87.59378815,46.79346085,23,6344,"north"
"michigan",830,-87.5823288,46.77627563,23,6345,"north"
"michigan",830,-87.5823288,46.74189758,23,6346,"north"
"michigan",830,-87.57659912,46.72470856,23,6347,"north"
"michigan",830,-87.53649139,46.70178986,23,6348,"north"
"michigan",830,-87.50784302,46.66168213,23,6349,"north"
"michigan",830,-87.49065399,46.63303375,23,6350,"north"
"michigan",830,-87.45054626,46.63303375,23,6351,"north"
"michigan",830,-87.44482422,46.62157822,23,6352,"north"
"michigan",830,-87.44482422,46.59865952,23,6353,"north"
"michigan",830,-87.40471649,46.58719635,23,6354,"north"
"michigan",830,-87.38179016,46.57000732,23,6355,"north"
